04/01/2000,CYX
04/04/2000,HKE
04/05/2000,KOX
04/05/2000,CAX
04/05/2000,SKE
04/06/2000,BKX
04/06/2000,KLX
04/09/2000,PLX
04/13/2000,BKX
04/14/2000,BKX
04/15/2000,BKX
04/18/2000,ZMX
04/19/2000,TAX
04/20/2000,MXX
04/20/2000,ICX
04/20/2000,PLX
04/20/2000,LSX
04/20/2000,CPX
04/20/2000,OLX
04/20/2000,TAX
04/21/2000,ATX
04/21/2000,ASX
04/21/2000,SIX
04/21/2000,SAX
04/21/2000,ICX
04/21/2000,IEX
04/21/2000,JNX
04/21/2000,NAX
04/21/2000,MXX
04/21/2000,LUX
04/21/2000,LSX
04/21/2000,SGX
04/21/2000,AMX
04/21/2000,AOX
04/21/2000,BRX
04/21/2000,CPX
04/21/2000,FRX
04/21/2000,NQX
04/21/2000,SWE
04/21/2000,SZE
04/21/2000,CAE
04/21/2000,VIX
04/21/2000,UKE
04/21/2000,SPE
04/21/2000,USE
04/21/2000,EUE
04/21/2000,ITE
04/21/2000,AUE
04/21/2000,GEE
04/21/2000,FIE
04/21/2000,HKE
04/21/2000,XLN
04/21/2000,LON
04/21/2000,WSX
04/21/2000,ZMX
04/21/2000,NZX
04/21/2000,OLX
04/21/2000,PLX
04/22/2000,ZMX
04/22/2000,HKE
04/22/2000,MXX
04/22/2000,SGX
04/23/2000,IBX
04/24/2000,XLN
04/24/2000,LON
04/24/2000,HKE
04/24/2000,FIE
04/24/2000,GEE
04/24/2000,AUE
04/24/2000,ITE
04/24/2000,EUE
04/24/2000,SPE
04/24/2000,UKE
04/24/2000,VIX
04/24/2000,SZE
04/24/2000,SWE
04/24/2000,FRX
04/24/2000,CPX
04/24/2000,BRX
04/24/2000,AMX
04/24/2000,ATX
04/24/2000,BUX
04/24/2000,ICX
04/24/2000,IEX
04/24/2000,JNX
04/24/2000,LUX
04/24/2000,PRX
04/24/2000,OLX
04/24/2000,NZX
04/24/2000,ZMX
04/24/2000,WSX
04/25/2000,AUE
04/25/2000,NZX
04/25/2000,TAX
04/25/2000,CAX
04/26/2000,TAX
04/27/2000,JNX
04/28/2000,ATX
04/28/2000,CYX
04/29/2000,OSX
04/29/2000,HEX
04/29/2000,JSX
04/29/2000,NYX
04/29/2000,JAE
04/30/2000,CAX
05/01/2000,MXX
05/01/2000,LUX
05/01/2000,LSX
05/01/2000,SGX
05/01/2000,PRX
05/01/2000,PLX
05/01/2000,OLX
05/01/2000,ZMX
05/01/2000,WSX
05/01/2000,SHX
05/01/2000,XLN
05/01/2000,LON
05/01/2000,HKE
05/01/2000,FIE
05/01/2000,GEE
05/01/2000,ITE
05/01/2000,EUE
05/01/2000,MSC
05/01/2000,SPE
05/01/2000,UKE
05/01/2000,SKE
05/01/2000,VIX
05/01/2000,SZE
05/01/2000,SWE
05/01/2000,FRX
05/01/2000,BRX
05/01/2000,AMX
05/01/2000,BKX
05/01/2000,ATX
05/01/2000,RTX
05/01/2000,SIX
05/01/2000,CYX
05/01/2000,CAX
05/01/2000,BUX
05/01/2000,SAX
05/01/2000,ICX
05/01/2000,IEX
05/01/2000,KOX
05/01/2000,KLX
05/01/2000,JNX
05/02/2000,RTX
05/02/2000,CYX
05/02/2000,SHX
05/02/2000,MSC
05/03/2000,JAE
05/03/2000,JSX
05/03/2000,SHX
05/03/2000,NYX
05/03/2000,OSX
05/03/2000,HEX
05/03/2000,WSX
05/04/2000,HEX
05/04/2000,NYX
05/04/2000,JSX
05/04/2000,JAE
05/04/2000,OSX
05/04/2000,SHX
05/05/2000,SKE
05/05/2000,SHX
05/05/2000,OSX
05/05/2000,HEX
05/05/2000,MXX
05/05/2000,NYX
05/05/2000,BKX
05/05/2000,JAE
05/05/2000,JSX
05/05/2000,KOX
05/06/2000,SHX
05/07/2000,SHX
05/08/2000,PRX
05/09/2000,TAX
05/09/2000,MSC
05/09/2000,RTX
05/10/2000,TAX
05/11/2000,SKE
05/11/2000,HKE
05/11/2000,KOX
05/17/2000,OLX
05/17/2000,BKX
05/18/2000,KLX
05/18/2000,SIX
05/19/2000,IBX
05/19/2000,CPX
05/21/2000,SGX
05/22/2000,CAE
05/25/2000,ZMX
05/29/2000,UKE
05/29/2000,NAX
05/29/2000,AOX
05/29/2000,ASX
05/29/2000,LON
05/29/2000,XLN
05/29/2000,NQX
05/29/2000,NYC
05/29/2000,USE
06/01/2000,SWE
06/01/2000,LUX
06/01/2000,ICX
06/01/2000,VIX
06/01/2000,CPX
06/01/2000,FIE
06/01/2000,OLX
06/01/2000,SZE
06/03/2000,KLX
06/05/2000,NZX
06/05/2000,IEX
06/05/2000,CPX
06/06/2000,KOX
06/06/2000,SKE
06/06/2000,HKE
06/08/2000,TAX
06/09/2000,TAX
06/12/2000,CPX
06/12/2000,BRX
06/12/2000,AMX
06/12/2000,SWE
06/12/2000,SZE
06/12/2000,OLX
06/12/2000,PLX
06/12/2000,LUX
06/12/2000,AUE
06/12/2000,EUE
06/12/2000,MSC
06/12/2000,VIX
06/12/2000,ICX
06/12/2000,BUX
06/12/2000,RTX
06/15/2000,CAX
06/15/2000,KLX
06/16/2000,JNX
06/17/2000,ICX
06/19/2000,ATX
06/19/2000,CYX
06/19/2000,SGX
06/22/2000,WSX
06/22/2000,VIX
06/22/2000,SAX
06/23/2000,LUX
06/23/2000,FIE
06/23/2000,SWE
06/24/2000,FIE
06/26/2000,SGX
06/29/2000,LSX
07/01/2000,CAX
07/01/2000,BKX
07/01/2000,HKE
07/03/2000,CAE
07/04/2000,NAX
07/04/2000,NYC
07/04/2000,ASX
07/04/2000,NQX
07/04/2000,AOX
07/04/2000,USE
07/05/2000,PRX
07/06/2000,PRX
07/09/2000,SAX
07/17/2000,KOX
07/17/2000,SKE
07/17/2000,BKX
07/20/2000,HEX
07/20/2000,OSX
07/20/2000,NYX
07/20/2000,JAE
07/20/2000,JSX
07/23/2000,CAX
07/28/2000,LSX
07/29/2000,LSX
08/07/2000,CAE
08/07/2000,IEX
08/07/2000,ICX
08/09/2000,JNX
08/09/2000,SIX
08/10/2000,TAX
08/11/2000,ZMX
08/12/2000,ZMX
08/14/2000,BKX
08/15/2000,KOX
08/15/2000,WSX
08/15/2000,CYX
08/15/2000,ATX
08/15/2000,VIX
08/15/2000,SPE
08/15/2000,ITE
08/15/2000,SKE
08/15/2000,SGX
08/15/2000,LUX
08/20/2000,BUX
08/27/2000,PLX
08/28/2000,UKE
08/28/2000,XLN
08/28/2000,LON
08/30/2000,IBX
08/30/2000,LSX
08/31/2000,KLX
09/01/2000,MXX
09/04/2000,NYC
09/04/2000,ASX
09/04/2000,AOX
09/04/2000,NQX
09/04/2000,SGX
09/04/2000,CAE
09/04/2000,USE
09/04/2000,NAX
09/07/2000,SAX
09/11/2000,SKE
09/11/2000,KOX
09/12/2000,KOX
09/12/2000,SKE
09/13/2000,KOX
09/13/2000,HKE
09/13/2000,SKE
09/15/2000,HEX
09/15/2000,JSX
09/15/2000,OSX
09/15/2000,JAE
09/15/2000,NYX
09/16/2000,MXX
09/18/2000,SGX
09/19/2000,SGX
09/23/2000,NYX
09/23/2000,HEX
09/23/2000,OSX
09/23/2000,JAE
09/23/2000,JSX
09/25/2000,JNX
09/28/2000,PRX
09/29/2000,TAX
09/30/2000,TAX
10/01/2000,CYX
10/01/2000,SHX
10/01/2000,TAX
10/02/2000,HKE
10/02/2000,SHX
10/03/2000,GEE
10/03/2000,SKE
10/03/2000,SHX
10/03/2000,KOX
10/03/2000,FRX
10/04/2000,SHX
10/05/2000,SHX
10/06/2000,SHX
10/06/2000,HKE
10/06/2000,CAX
10/07/2000,SHX
10/08/2000,TAX
10/08/2000,LSX
10/09/2000,CAE
10/09/2000,JAE
10/09/2000,OSX
10/09/2000,TAX
10/09/2000,SGX
10/09/2000,NYX
10/09/2000,NYC
10/09/2000,HEX
10/09/2000,JSX
10/12/2000,SAX
10/12/2000,SPE
10/13/2000,TAX
10/14/2000,TAX
10/20/2000,TAX
10/21/2000,TAX
10/23/2000,NZX
10/23/2000,BKX
10/23/2000,BUX
10/26/2000,KLX
10/26/2000,SIX
10/26/2000,VIX
10/28/2000,ATX
10/28/2000,PRX
10/28/2000,CYX
10/29/2000,IBX
10/30/2000,IEX
11/01/2000,WSX
11/01/2000,BUX
11/01/2000,LSX
11/01/2000,LUX
11/01/2000,SGX
11/01/2000,VIX
11/01/2000,SPE
11/01/2000,PLX
11/02/2000,SAX
11/02/2000,MXX
11/03/2000,NYX
11/03/2000,OSX
11/03/2000,JSX
11/03/2000,HEX
11/03/2000,JAE
11/07/2000,MSC
11/07/2000,RTX
11/11/2000,NYC
11/11/2000,WSX
11/15/2000,SAX
11/17/2000,PRX
11/20/2000,MXX
11/23/2000,AOX
11/23/2000,NYX
11/23/2000,NAX
11/23/2000,NQX
11/23/2000,JSX
11/23/2000,ASX
11/23/2000,JAE
11/23/2000,HEX
11/23/2000,USE
11/23/2000,OSX
11/23/2000,NYC
11/30/2000,PLX
12/01/2000,MXX
12/05/2000,BKX
12/06/2000,SPE
12/06/2000,FIE
12/08/2000,SGX
12/08/2000,VIX
12/08/2000,SPE
12/08/2000,LSX
12/11/2000,BKX
12/12/2000,RTX
12/12/2000,MSC
12/12/2000,MXX
12/16/2000,JNX
12/22/2000,ZMX
12/23/2000,JSX
12/23/2000,HEX
12/23/2000,OSX
12/23/2000,JAE
12/23/2000,NYX
12/24/2000,PRX
12/24/2000,WSX
12/24/2000,CPX
12/24/2000,CYX
12/24/2000,SAX
12/24/2000,ICX
12/24/2000,FRX
12/24/2000,FIE
12/24/2000,GEE
12/24/2000,ITE
12/24/2000,SWE
12/24/2000,SPE
12/24/2000,VIX
12/24/2000,LUX
12/25/2000,SGX
12/25/2000,FRX
12/25/2000,PLX
12/25/2000,OLX
12/25/2000,NZX
12/25/2000,ZMX
12/25/2000,WSX
12/25/2000,CPX
12/25/2000,BRX
12/25/2000,AOX
12/25/2000,ATX
12/25/2000,ASX
12/25/2000,SIX
12/25/2000,CYX
12/25/2000,BUX
12/25/2000,SAX
12/25/2000,ICX
12/25/2000,IEX
12/25/2000,LSX
12/25/2000,KOX
12/25/2000,KLX
12/25/2000,JNX
12/25/2000,NAX
12/25/2000,MXX
12/25/2000,LUX
12/25/2000,ITE
12/25/2000,XLN
12/25/2000,XTA
12/25/2000,NYC
12/25/2000,LON
12/25/2000,SKE
12/25/2000,HKE
12/25/2000,FIE
12/25/2000,GEE
12/25/2000,AUE
12/25/2000,SWE
12/25/2000,EUE
12/25/2000,USE
12/25/2000,SPE
12/25/2000,UKE
12/25/2000,AMX
12/25/2000,VIX
12/25/2000,CAE
12/25/2000,SZE
12/25/2000,NQX
12/25/2000,PRX
12/26/2000,PRX
12/26/2000,OLX
12/26/2000,NZX
12/26/2000,ZMX
12/26/2000,WSX
12/26/2000,FRX
12/26/2000,CPX
12/26/2000,BRX
12/26/2000,ATX
12/26/2000,IEX
12/26/2000,CYX
12/26/2000,BUX
12/26/2000,ICX
12/26/2000,JNX
12/26/2000,LUX
12/26/2000,ITE
12/26/2000,XLN
12/26/2000,LON
12/26/2000,HKE
12/26/2000,FIE
12/26/2000,GEE
12/26/2000,AUE
12/26/2000,SWE
12/26/2000,EUE
12/26/2000,SPE
12/26/2000,UKE
12/26/2000,AMX
12/26/2000,VIX
12/26/2000,CAE
12/26/2000,SZE
12/27/2000,KLX
12/27/2000,SKE
12/27/2000,KOX
12/27/2000,SIX
12/27/2000,IBX
12/28/2000,IBX
12/28/2000,KLX
12/28/2000,KOX
12/28/2000,SKE
12/29/2000,SAX
12/29/2000,IBX
12/29/2000,CAX
12/29/2000,VIX
12/29/2000,SKE
12/29/2000,KOX
12/30/2000,CAX
12/30/2000,KOX
12/30/2000,SKE
12/30/2000,PLX
12/31/2000,JAE
12/31/2000,SZE
12/31/2000,AMX
12/31/2000,SPE
12/31/2000,EUE
12/31/2000,SWE
12/31/2000,GEE
12/31/2000,ITE
12/31/2000,NYX
12/31/2000,HEX
12/31/2000,ICX
12/31/2000,JSX
12/31/2000,CAX
12/31/2000,BRX
12/31/2000,CPX
12/31/2000,FRX
12/31/2000,OLX
12/31/2000,PLX
12/31/2000,PRX
12/31/2000,OSX
12/31/2000,LUX
12/31/2000,SGX
01/01/2001,CAX
01/01/2001,BUX
01/01/2001,SAX
01/01/2001,BKX
01/01/2001,IBX
01/01/2001,ICX
01/01/2001,HEX
01/01/2001,IEX
01/01/2001,CYX
01/01/2001,KOX
01/01/2001,KLX
01/01/2001,JNX
01/01/2001,JSX
01/01/2001,NYX
01/01/2001,NAX
01/01/2001,MXX
01/01/2001,LUX
01/01/2001,LSX
01/01/2001,SGX
01/01/2001,PRX
